"","Site_ID","Gravimetric Moisture","Date","Top","Bottom","Mid_depth","ProbeType","TopSensorDepth","Sensor","SOC","Sand","Silt","Clay","EC","BD","Theta"
"910","GlenTop",0.143351801,"2018-01-29","20","30",25,"Sentek",25,1,0.439987180592897,55.0482219383034,20.2930067271359,27.0531665192188,0.110560898729438,1.6532161075,0.236991506452335
"911","GlenTop",0.153786468,"2018-01-29","30","40",35,"Sentek",25,2,0.289035020621046,55.6007292214802,19.430515037397,27.6387403068888,0.106334409394392,1.6764967722,0.257822517210039
"912","GlenTop",0.141107492,"2018-01-29","40","50",45,"Sentek",25,3,0.237307117762335,56.4864282633228,19.5143985784095,26.8808339594696,0.131142681447572,1.72936247682053,0.244026001863053
"913","GlenTop",0.097618716,"2018-01-29","50","60",55,"Sentek",25,4,0.209453046032607,59.67939394195,18.8871932219958,24.6002439457591,0.138342380055513,1.73413513388863,0.169284045140696
"914","GlenTop",0.132041697,"2018-01-29","60","70",65,"Sentek",25,5,0.183938562044319,65.630422059797,17.1016044841696,20.8294837647293,0.115563099822073,1.7266050034767,0.227983854707755
"915","GlenTop",0.143666532,"2018-01-29","70","80",75,"Sentek",25,6,0.169049039660417,70.7402126745316,15.1271489803108,18.0861348766606,0.0965646161093233,1.6916050301924,0.243027028201497
"916","GlenTop",0.089177979,"2018-01-29","80","90",85,"Sentek",25,7,0.170705204674871,71.6514080421899,14.0256360488897,18.5332792700395,0.111084699421783,1.64398368213031,0.14660714228136
"920","GlenNew",0.080889051,"2018-01-29","20","30",25,"Sentek",30,1,0.538537480851118,31.7572830185802,36.0254316618105,31.4862358601058,0.627394124331458,1.6143440741,0.130582760141423
"921","GlenNew",0.070012965,"2018-01-29","30","40",35,"Sentek",30,2,0.425533071563829,33.4194999591587,32.6487685290782,33.2737126216498,0.495748794181837,1.6458682446,0.115232115803791
"922","GlenNew",0.067989757,"2018-01-29","40","50",45,"Sentek",30,3,0.404327374059061,32.4309449762041,28.1456281444124,38.7858960040586,0.431407767979958,1.63705483970714,0.111302960747362
