Date,SM,Start Depth,End Depth,Site_ID,Sensor
8/14/2006,26.6421,60,100,1,3
8/15/2006,23.7648,15,30,1,1
8/15/2006,26.6283,30,60,1,2
8/15/2006,26.6283,60,100,1,3
8/16/2006,23.5514,15,30,1,1
8/16/2006,26.546,30,60,1,2
8/16/2006,26.546,60,100,1,3
8/17/2006,23.40995,15,30,1,1
8/17/2006,26.5079,30,60,1,2
8/17/2006,26.5079,60,100,1,3
8/18/2006,23.3078,15,30,1,1
8/18/2006,26.5778,30,60,1,2
8/18/2006,26.5778,60,100,1,3
8/19/2006,23.16395,15,30,1,1
8/19/2006,26.5761,30,60,1,2
8/19/2006,26.5761,60,100,1,3
8/20/2006,23.01865,15,30,1,1
8/20/2006,26.5689,30,60,1,2
8/20/2006,26.5689,60,100,1,3
8/21/2006,22.80005,15,30,1,1
8/21/2006,26.5272,30,60,1,2
8/21/2006,26.5272,60,100,1,3
8/22/2006,22.6398,15,30,1,1
8/22/2006,26.5453,30,60,1,2
8/22/2006,26.5453,60,100,1,3
8/23/2006,22.5187,15,30,1,1
8/23/2006,26.6397,30,60,1,2
8/23/2006,26.6397,60,100,1,3
8/24/2006,22.57655,15,30,1,1
8/24/2006,26.6737,30,60,1,2
8/24/2006,26.6737,60,100,1,3
8/25/2006,22.95285,15,30,1,1
8/25/2006,26.6953,30,60,1,2
8/25/2006,26.6953,60,100,1,3
8/26/2006,22.89215,15,30,1,1
8/26/2006,26.8224,30,60,1,2
8/26/2006,26.8224,60,100,1,3
8/27/2006,22.718,15,30,1,1
8/27/2006,26.7933,30,60,1,2
8/27/2006,26.7933,60,100,1,3
8/28/2006,22.53205,15,30,1,1
8/28/2006,26.7918,30,60,1,2
8/28/2006,26.7918,60,100,1,3
8/29/2006,22.3577,15,30,1,1
8/29/2006,26.7996,30,60,1,2
8/29/2006,26.7996,60,100,1,3
8/30/2006,22.17575,15,30,1,1
8/30/2006,26.7931,30,60,1,2
8/30/2006,26.7931,60,100,1,3
8/31/2006,22.00955,15,30,1,1
8/31/2006,26.8086,30,60,1,2
8/31/2006,26.8086,60,100,1,3
9/1/2006,21.8579,15,30,1,1
9/1/2006,26.782,30,60,1,2
9/1/2006,26.782,60,100,1,3
9/2/2006,21.62505,15,30,1,1
9/2/2006,26.7143,30,60,1,2
9/2/2006,26.7143,60,100,1,3
9/3/2006,21.48375,15,30,1,1
9/3/2006,26.6953,30,60,1,2
9/3/2006,26.6953,60,100,1,3
9/4/2006,21.37355,15,30,1,1
9/4/2006,26.7587,30,60,1,2
9/4/2006,26.7587,60,100,1,3
9/5/2006,21.1888,15,30,1,1
9/5/2006,26.8342,30,60,1,2
9/5/2006,26.8342,60,100,1,3
9/6/2006,21.5132,15,30,1,1
9/6/2006,27.0411,30,60,1,2
9/6/2006,27.0411,60,100,1,3
9/7/2006,21.8425,15,30,1,1
9/7/2006,26.9897,30,60,1,2
9/7/2006,26.9897,60,100,1,3
9/8/2006,21.79355,15,30,1,1
9/8/2006,26.9846,30,60,1,2
9/8/2006,26.9846,60,100,1,3
9/9/2006,21.73555,15,30,1,1
9/9/2006,26.9835,30,60,1,2
9/9/2006,26.9835,60,100,1,3
9/10/2006,21.6764,15,30,1,1
9/10/2006,26.9289,30,60,1,2
9/10/2006,26.9289,60,100,1,3
9/11/2006,21.57435,15,30,1,1
9/11/2006,26.9728,30,60,1,2
9/11/2006,26.9728,60,100,1,3
9/12/2006,21.39495,15,30,1,1
9/12/2006,26.9322,30,60,1,2
9/12/2006,26.9322,60,100,1,3
9/13/2006,21.24345,15,30,1,1
9/13/2006,26.9167,30,60,1,2
9/13/2006,26.9167,60,100,1,3
9/14/2006,21.0578,15,30,1,1
